[369.848, 255.772]
[370.109, 255.515]
[370.369, 255.517]
[370.630, 255.519]
[370.890, 255.521]
[371.150, 255.524]
[371.411, 255.266]
[371.672, 255.268]
[371.932, 255.270]
[372.191, 255.532]
[372.452, 255.534]
[372.712, 255.537]
[372.972, 255.539]
[373.233, 255.541]
[373.493, 255.543]
[373.753, 255.545]
[374.013, 255.807]
[374.273, 255.809]
[374.533, 255.812]
[374.794, 255.814]
[375.054, 255.816]
[375.313, 256.078]
[375.572, 256.340]
[375.833, 256.342]
[376.092, 256.604]
[376.351, 256.866]
[376.611, 257.128]
[376.871, 257.130]
[377.131, 257.132]
[377.392, 257.134]
[377.651, 257.396]
[377.911, 257.398]
[378.171, 257.660]
[378.431, 257.663]
[378.691, 257.665]
[378.952, 257.667]
[379.211, 257.929]
[379.470, 258.191]
[379.731, 258.193]
[379.990, 258.455]
[380.250, 258.457]
[380.510, 258.459]
[380.771, 258.461]
[381.031, 258.464]
[381.290, 258.726]
[381.551, 258.728]
[381.811, 258.730]
[382.071, 258.732]
[382.332, 258.734]
[382.591, 258.996]
[382.850, 259.258]
[383.111, 259.260]
[383.369, 259.782]
[383.628, 260.044]
[383.888, 260.306]
[384.147, 260.568]
[384.406, 260.830]
[384.667, 260.832]
[384.926, 261.094]
[385.185, 261.356]
[385.446, 261.358]
[385.704, 261.880]
[385.963, 262.142]
[386.222, 262.663]
[386.480, 263.185]
[386.739, 263.447]
[386.999, 263.709]
[387.259, 263.711]
[387.519, 263.713]
[387.780, 263.716]
[388.040, 263.718]
[388.299, 263.980]
[388.558, 264.242]
[388.819, 264.244]
[389.078, 264.506]
[389.337, 264.768]
[389.597, 265.030]
[389.856, 265.292]
[390.116, 265.294]
[390.376, 265.556]
[390.635, 265.818]
[390.894, 266.080]
[391.154, 266.342]
[391.413, 266.604]
[391.672, 266.866]
[391.932, 267.127]
[392.192, 267.130]
[392.452, 267.132]
[392.712, 267.394]
[392.972, 267.396]
[393.231, 267.658]
[393.493, 267.400]
[393.753, 267.402]
[394.014, 267.145]
[394.274, 267.147]
[394.535, 267.149]
[394.795, 267.151]
[395.056, 266.894]
[395.317, 266.896]
[395.578, 266.638]
[395.839, 266.381]
[396.100, 266.383]
[396.360, 266.385]
[396.620, 266.387]
[396.880, 266.389]
[397.142, 266.132]
[397.401, 266.394]
