[289.215, 307.837]
[289.474, 308.099]
[289.733, 308.361]
[289.992, 308.623]
[290.252, 308.885]
[290.511, 309.147]
[290.770, 309.668]
[291.029, 309.930]
[291.287, 310.452]
[291.547, 310.714]
[291.806, 310.976]
[292.066, 310.978]
[292.325, 311.240]
[292.585, 311.502]
[292.844, 311.764]
[293.103, 312.026]
[293.363, 312.288]
[293.621, 312.810]
[293.880, 313.072]
[294.140, 313.334]
[294.400, 313.336]
[294.659, 313.598]
[294.919, 313.860]
[295.178, 314.122]
[295.438, 314.124]
[295.698, 314.386]
[295.957, 314.648]
[296.217, 314.650]
[296.478, 314.652]
[296.738, 314.654]
[296.997, 314.916]
[297.258, 314.918]
[297.518, 314.921]
[297.778, 314.923]
[298.039, 314.925]
[298.298, 315.187]
[298.558, 315.189]
[298.818, 315.191]
[299.079, 315.193]
[299.339, 315.195]
[299.598, 315.457]
[299.858, 315.719]
[300.117, 315.981]
[300.376, 316.243]
[300.637, 316.245]
[300.896, 316.507]
[301.155, 316.769]
[301.416, 316.772]
[301.676, 316.774]
[301.935, 317.036]
[302.196, 317.038]
[302.456, 317.040]
[302.716, 317.042]
[302.977, 317.044]
[303.236, 317.306]
[303.496, 317.308]
[303.756, 317.311]
[304.017, 317.313]
[304.277, 317.315]
[304.537, 317.317]
[304.799, 317.059]
[305.059, 317.062]
[305.319, 317.064]
[305.580, 317.066]
[305.839, 317.328]
[306.099, 317.330]
[306.360, 317.332]
[306.620, 317.334]
[306.880, 317.337]
[307.141, 317.079]
[307.402, 317.081]
[307.662, 317.083]
[307.922, 317.086]
[308.183, 317.088]
[308.444, 316.830]
[308.705, 316.572]
[308.966, 316.575]
[309.228, 316.057]
[309.489, 315.800]
[309.750, 315.542]
[310.012, 315.284]
[310.273, 315.027]
[310.532, 315.289]
[310.794, 315.031]
[311.054, 315.033]
[311.314, 315.036]
[311.574, 315.038]
[311.835, 315.040]
[312.096, 314.782]
[312.356, 314.784]
[312.618, 314.527]
[312.878, 314.529]
[313.138, 314.531]
[313.399, 314.533]
[313.659, 314.535]
[313.920, 314.278]
[314.180, 314.280]
[314.441, 314.282]
[314.701, 314.284]
[314.962, 314.027]
[315.224, 313.769]
[315.484, 313.771]
[315.745, 313.514]
[316.007, 313.256]
[316.268, 312.999]
[316.530, 312.481]
[316.791, 312.224]
[317.054, 311.706]
[317.315, 311.449]
[317.576, 311.191]
[317.836, 311.193]
[318.097, 311.195]
[318.358, 310.938]
[318.619, 310.680]
[318.880, 310.682]
[319.142, 310.165]
[319.403, 309.907]
[319.665, 309.390]
[319.930, 308.353]
[320.191, 308.095]
[320.452, 307.838]
[320.714, 307.580]
[320.975, 307.322]
[321.236, 307.065]
[321.497, 306.807]
[321.759, 306.550]
[322.019, 306.552]
[322.280, 306.294]
[322.542, 306.037]
[322.802, 306.039]
[323.063, 305.781]
[323.323, 305.783]
[323.584, 305.785]
[323.845, 305.528]
[324.105, 305.530]
[324.367, 305.272]
[324.627, 305.275]
[324.886, 305.537]
[325.147, 305.539]
[325.406, 305.801]
[325.666, 305.803]
[325.927, 305.805]
[326.187, 305.807]
[326.447, 305.809]
[326.706, 306.071]
[326.967, 306.073]
[327.227, 306.076]
[327.488, 305.818]
[327.749, 305.820]
[328.008, 306.082]
[328.268, 306.084]
[328.529, 306.086]
[328.789, 306.089]
[329.050, 305.831]
[329.311, 305.833]
[329.571, 305.835]
[329.831, 305.838]
[330.091, 305.840]
[330.353, 305.582]
[330.614, 305.325]
[330.874, 305.327]
[331.136, 305.069]
[331.397, 304.811]
[331.658, 304.554]
[331.919, 304.296]
[332.181, 304.039]
[332.441, 304.041]
[332.702, 303.783]
[332.965, 303.266]
[333.226, 303.008]
[333.488, 302.491]
[333.751, 301.714]
[334.014, 301.196]
[334.275, 300.939]
[334.536, 300.681]
[334.797, 300.683]
[335.057, 300.685]
[335.318, 300.428]
[335.579, 300.170]
[335.840, 300.172]
[336.101, 299.915]
[336.362, 299.657]
[336.624, 299.400]
[336.884, 299.402]
[337.144, 299.404]
[337.404, 299.406]
[337.665, 299.408]
[337.925, 299.410]
[338.185, 299.413]
[338.447, 299.155]
[338.706, 299.417]
[338.966, 299.419]
